Layer,Name,GEOID,Longitude,Latitude,HDX_2020-2024,HDX_2018-2022,HDX_2017-2021,HDX_2016-2020,HDX_2015-2019,HDX_2014-2018,HDX_2013-2017,HDX_2012-2016,HDX_2011-2015
,,,,,"Hardship Index (score), 2020-2024","Hardship Index (score), 2018-2022","Hardship Index (score), 2017-2021","Hardship Index (score), 2016-2020","Hardship Index (score), 2015-2019","Hardship Index (score), 2014-2018","Hardship Index (score), 2013-2017","Hardship Index (score), 2012-2016","Hardship Index (score), 2011-2015"
Community area,Lower West Side,31,-87.66757000,41.85027700,66.07942865107157,69.3178751328202,67.77416616236795,63.519301534015916,61.47373077373078,73.31359733492178,78.06350816804554,80.75819535121813,87.68087198087201
Community area,Loop,32,-87.62519400,41.87888100,6.880907991843654,9.149852534048291,9.055456812126003,7.479569728590447,4.252745034086567,2.8359575221876665,3.488196752319329,2.766569990257163,3.8265303937713737
Community area,Near South Side,33,-87.62034400,41.85719600,4.347421491892502,3.7286097872528488,3.699846512483361,2.362646382019387,2.648196292785171,1.721295099512767,3.000243936315525,3.781610157242892,9.882059928239713
Community area,Armour Square,34,-87.63397600,41.84208300,87.71355007278783,81.3229896463792,84.5751101188385,85.04827474604824,90.94099941800117,91.62794380218685,89.60468492980164,89.08350706618296,89.7226590546819
Community area,Douglas,35,-87.61868000,41.83512200,74.92314380013363,68.40648855902894,75.2644588340358,73.00699094318009,61.73841386034651,64.36189347967691,61.87466833621134,63.27348470427294,63.554684067101675
Community area,Oakland,36,-87.60321700,41.82375400,78.94747122365531,86.68571335564909,89.28835664986492,84.96784475092055,80.88065199043184,85.03256192100498,85.72319290867105,83.43180601114486,80.22806594905518
Community area,Fuller Park,37,-87.63242700,41.80908200,96.8884611449431,97.91413780662315,97.74491889422765,96.97086337202829,95.30105473289635,94.54890825857078,94.47000607679803,93.85643940636032,92.82495474429777
Community area,Grand Boulevard,38,-87.61786000,41.81294700,77.7903869241361,74.61705407761417,76.20540641732238,73.13024905202248,78.99573848040829,77.20480840835822,77.87564128974371,82.13161150628922,83.3491945931872
Community area,Kenwood,39,-87.59618600,41.80891800,52.508517738230786,50.527762977523764,52.657053723105854,47.62981001243234,36.147568699999994,37.50483492713957,43.13325390636922,42.342956031396035,45.1000931
Community area,Lincoln Square,4,-87.68751300,41.97518200,23.192702125306457,24.439676491108255,22.812004023398366,22.521215695668594,18.238548838548837,17.249197197307875,17.76781809375475,22.190094235121684,28.934573834573833
Community area,Washington Park,40,-87.61793600,41.79235600,89.9155296144411,90.97960118115734,94.2124446382287,90.5771982226152,91.85211988603807,91.46517773380623,94.17407245824874,94.54181706557105,92.54782611304393
Community area,Hyde Park,41,-87.59230500,41.79408800,28.516254918698692,34.726333596571195,38.04939972470313,38.019151835973496,30.34573245426755,28.702808276058175,31.297884980981713,28.808854745468892,29.714429485570523
Community area,Woodlawn,42,-87.59492400,41.77887700,78.20454863918856,82.61983476694941,83.0682111851468,83.89708842875237,84.42099964699756,84.59865189896195,83.26072273788827,84.28117829407866,82.40242721699055
Community area,South Shore,43,-87.57279000,41.76158300,82.90628362558722,83.6331588002052,81.6240387989589,79.95982653463955,78.76798840396522,83.81643190430938,84.73956571365837,85.37709742718813,83.98784616353849
Community area,Chatham,44,-87.61596500,41.74020600,77.61276311075105,78.47109700672841,76.8811593476221,77.60767545180148,77.80152283045659,79.13433849945689,80.55790262096997,79.98305353697206,74.83246804936097
Community area,Avalon Park,45,-87.58634700,41.74419700,65.86539945795128,75.98683458949073,74.21913409999951,77.16491411833715,77.64909704548523,77.75003613361334,79.77283847491317,82.811453960392,77.70156980784904
Community area,South Chicago,46,-87.55143500,41.74124300,86.25358838963794,85.52965052643758,84.88117809906404,82.23239787754129,84.17969262030739,83.66219732315257,83.93140649176402,83.64135701377415,85.33808746191255
Community area,Burnside,47,-87.59647000,41.72818100,92.69707314499728,82.2039610306679,87.33894855649808,76.81875974176657,84.34803017242241,86.61523808123411,85.24349185520958,90.3726376713035,91.18121013694191
Community area,Calumet Heights,48,-87.57272000,41.72967300,66.50598948630285,51.31816554283475,49.061232730333145,45.70545726835672,60.03190368660646,62.5413128233834,62.96925503510427,68.12796269548394,65.92278297584664
Community area,Roseland,49,-87.62336600,41.70658800,81.71987231186894,81.51571587192873,81.22985912402395,82.79024356807457,84.03404448729013,84.73937777421465,85.37084109408245,84.83346587685314,80.64266673733538
Community area,North Center,5,-87.68383900,41.94781100,4.303042350440022,4.0375930065326395,3.8815630839185054,4.067724037521001,5.133677466322534,5.44380401328323,5.785910063391391,5.312208030212693,5.620828879171122
Community area,Pullman,50,-87.59825200,41.70613100,74.5825483924615,66.12550078217076,65.73511079323944,61.07939298268678,65.16112644505782,62.73834584759767,68.47421724803972,75.19360923762409,75.76333203328133
Community area,South Deering,51,-87.57005800,41.69063900,86.71758227037435,86.95578644616816,87.85502640926018,90.54860519166031,94.26360474488543,92.1282059521233,90.29001147888533,90.43526915718628,94.39385608940962
